,ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
0,2015,16.82151,17.834606,18.129015,16.682251,17.057447,17.704433,160.7665784904384,196.1943259826512,179.8851037499844,194.20219164312584,172.4570998132549,143.5988979238573
1,2016,16.907333,17.558994,18.419334,17.921333,17.138155,18.469458,156.43484942265786,201.14769252104452,170.76454876823846,233.67500244239636,178.9284092293201,182.43827183760004
2,2017,17.056519,18.89553,18.419176,17.253624,17.474592,18.929731,184.5501307696395,213.17250720348966,211.0149940213887,206.65072546580632,207.22276304732077,191.76851764241292
3,2018,17.102299,18.916634,19.464853,16.655024,18.078972,18.206171,186.3363192533143,237.1840212814277,195.7135941585875,172.95694822532823,154.29886751517188,187.8622341042501
4,2019,17.040062,18.826094,18.203598,17.406837,16.84729,18.604465,177.54423759615747,242.54442606579687,172.88183594791917,183.49061450826412,170.8600568392285,135.39122661095462
5,2020,17.476006,18.471016,18.515324,17.482779,16.760874,18.449594,161.47133171944006,208.31015269905038,160.87803744703706,191.23488205041212,134.4889817542935,151.76772596896626
6,2021,17.969297,19.873716,18.780592,17.58013,17.221321,18.51258,151.03007203579182,192.5077466519724,206.5678307582857,208.29403188781725,212.90726061761234,197.4386283007334
7,2022,17.95302,19.142021,18.170284,17.287058,17.3106,18.58244,166.95960910292342,174.85815833624656,166.87000247402466,250.88987693961826,162.6921312601553,201.0475847928319
8,2023,16.966215,18.575794,18.450874,16.856047,17.709076,17.299063,158.72675966311363,188.89244748097553,200.42367919722892,187.31975437767687,166.10354800723144,182.09198857039155
9,2024,17.14607,18.391354,18.124142,17.362017,17.020271,18.27313,147.33112991743837,195.70979608906782,254.89770654276072,259.1362922288681,200.385402100801,136.58078710905102
10,2025,16.512716,18.850452,18.223549,17.376123,18.253014,18.851517,172.726574443368,221.30627932056086,176.11785004683043,242.31682574973092,178.37069455417804,161.0577454079248
11,2026,16.698042,18.058521,18.860975,17.40741,17.525194,19.252628,153.73453225547564,206.35506332982914,204.5787385028234,180.15751588136482,151.95971190751152,182.78135308466403
12,2027,17.320993,18.958681,19.248522,17.193663,18.039373,18.070671,181.92272219021106,213.9746867298527,168.56585874193115,154.43292333075078,154.9367591909686,169.52885993505333
13,2028,18.067654,19.829777,19.031145,17.28352,18.193913,18.660484,163.15846075412992,155.8450879811062,211.5215944024385,192.63492380032403,175.3821338475973,159.0605169400078
14,2029,18.752285,18.897762,18.954647,17.572256,16.924532,18.420708,183.43116382020526,177.98011690247222,145.1723434849555,217.97283274645451,154.9624340965238,172.14224082490546
15,2030,17.858042,18.367174,19.387333,18.28043,17.34316,18.538689,155.7258833296146,274.54511938558426,216.57938017351626,186.5100792116209,179.91349172807531,165.6152995859884
16,2031,17.78046,18.919193,18.378584,18.03877,17.887323,18.579844,179.56365345453378,202.26632393078035,194.26536275022954,209.44805613253266,202.45478657452622,218.54993636879954
17,2032,18.22502,18.456076,18.856037,17.253178,17.241499,18.848871,173.1453422406048,196.79346900193195,206.1579546028952,253.64759958101786,120.15240434652696,156.93140247749398
18,2033,17.148338,18.254734,17.774431,17.100935,17.25225,18.424599,213.68165255298663,235.52080366644077,232.0259376316244,243.94516024767654,126.32318094807715,154.2483848048505
