ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
2015,26.419586,21.254608,24.707733,24.535217,20.575378,21.537567,26.459564,26.495667,25.63501,144.17759327916428,116.89464897644939,107.73864234724897,133.80589852313278,165.41549223766197,120.51558126768214
2016,25.855652,22.528717,25.042053,25.723328,22.12555,22.11905,26.913422,25.709534,24.41684,130.53909960435703,143.08343843295006,105.97512249805732,147.73999089666177,162.99050985035137,156.0541073384229
2017,26.27414,23.181274,26.654816,25.758911,21.600983,22.065613,27.30185,26.308197,26.203339,143.52628053165972,166.3706107523467,138.15537704358576,154.692329626414,179.48889262770535,146.39438349331613
2018,25.700684,23.318604,26.641327,26.47757,21.09787,21.77826,26.389526,26.785217,26.00055,170.25408816552954,145.94982007256476,156.25140999181895,177.40538644138724,114.53176257637097,158.7128268161905
2019,26.988739,22.038483,25.828278,27.574188,21.977814,21.695435,26.950378,26.484497,26.28653,136.0706484876573,138.37777254811954,90.09792832075618,155.6501696468331,153.08951499828254,117.97572248106007
2020,26.214539,22.038635,26.025146,25.148254,22.72464,21.905304,26.271606,26.433868,25.616943,153.20328797242837,128.3809639775427,118.98201112635434,123.84740634952323,110.83091070468072,138.2696138578467
2021,26.601898,23.384674,25.418976,25.852936,22.564606,22.121674,27.043976,25.956055,24.742432,129.63232367037563,152.48864334571408,136.8305289230193,124.456925742561,171.5504883293761,171.36233588535106
2022,25.778229,23.089752,27.364044,25.311188,23.315277,21.99533,26.279541,27.194977,26.927551,144.21979101462057,112.28653741709422,114.33454947837163,162.90344874432776,141.93701626500115,168.15732814720832
2023,27.045563,21.508514,24.97406,25.784515,21.306854,22.371002,25.99591,26.687958,24.850128,140.2853220315592,134.06425958237378,123.98114300667658,119.49080708800466,146.5419929663767,152.21879551027087
2024,26.458618,22.259796,25.236084,25.19989,22.662842,21.818115,27.533905,26.608887,25.494415,116.30586974497419,184.65109869721346,189.12953958206344,140.07617675088113,173.55388126743492,104.54122664232273
2025,26.470978,22.502289,25.473724,25.89264,21.931091,23.190521,26.83255,26.757568,26.39859,162.603578902781,152.3053966986481,120.41859025193844,163.48919359588763,142.38526463886956,130.88603493888513
2026,26.744904,22.334534,25.351715,26.333344,21.920288,22.458832,26.437225,26.345734,27.607697,117.41796604837873,148.9929902862059,132.16503181611188,143.7014317532885,136.02223690031678,158.64739185853978
