ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2015,20.014702,17.94523,18.194485,18.529356,16.793236,16.54167,19.857363,20.461576,18.679749,135.37061901006382,124.29977161955321,152.03357959399,128.9696404521237,111.00141950882971,82.48236872714187,159.73849,18.41888
2016,19.565866,17.76144,17.930939,18.254995,18.27304,18.155321,19.679893,19.552807,17.718796,128.6890533490805,235.00891264120582,122.31614497723058,98.4357216351782,81.86243218915479,82.22703680803534,129.18713,17.35415
2017,20.29056,16.984621,18.625118,18.830477,17.777,18.41159,19.884912,20.384796,19.022314,112.8811204485828,173.86289495334495,129.1453311278019,162.40476339444285,150.08005466661416,105.31600697577232,124.37553,18.14327
2018,19.668598,17.184065,18.240461,19.058432,15.788307,18.291807,19.53987,20.650316,19.665884,102.26206048100721,245.78252789215185,223.3038992882939,134.56623532692902,94.82326221477706,150.00396071118303,113.65976,17.84457
2019,20.44103,17.159367,19.63765,18.411642,17.712101,18.094664,19.889257,20.756845,18.292786,138.99243813939393,219.86985268013086,166.43391730904114,179.39980412920704,136.66054372588405,120.00887074973434,132.21355,18.44036
2020,19.938852,18.321566,19.513176,18.609648,18.128933,16.939087,19.917242,20.872368,18.501396,166.6010653192643,143.16820545791415,157.72932351683266,180.82788519677706,91.77585269862902,143.21770843234845,111.36441,17.84654
2021,20.043985,18.443308,20.07612,19.285597,17.70462,17.544088,20.869452,20.730427,19.7217,124.70750145439524,258.7104271282442,128.30084174493095,93.72130228657625,158.91024968004785,156.36317253811285,121.28284,17.53975
2022,19.286901,17.90017,19.012913,19.400328,18.696663,16.934122,20.580801,20.236078,20.189135,92.80393702501897,137.84549867268652,174.52601738332305,144.65396352752578,101.48748181309202,136.26370502170175,149.48109,17.3303
2023,19.747805,17.309034,19.26596,18.326876,18.2694,17.339903,19.484026,20.940022,17.667017,155.06345427129418,169.514825483202,118.923126586742,140.9336901968345,120.23205317527754,125.93292777019087,155.76582,18.10225
2024,21.451284,17.025927,18.45751,18.952257,17.90019,16.757425,21.483953,20.486208,18.447859,63.30222318938468,160.69081555469893,209.98903141880874,216.13424156676047,141.20526934275404,92.00554278795607,134.24266,18.48154
2025,20.389175,17.252005,19.76446,17.55284,18.362766,18.051912,20.858532,20.565414,17.864916,158.7486119417008,145.68956285656895,78.09993664195645,208.3304394094739,166.9561987335328,111.22726659814361,102.01264,17.68752
2026,20.669914,17.038198,18.883219,19.46582,17.459307,17.722246,19.879156,19.834837,18.832056,89.6038220525952,277.274978288915,87.41841998125892,104.45624350832077,94.55104217413464,106.07881258183625,96.34631,17.87738
2027,21.31756,17.309183,19.318144,19.716585,17.418306,18.179382,19.983023,20.31028,18.755033,78.91991302894894,211.84756613220088,128.93889951446909,143.50905718747526,52.55558686185395,78.15187926098588,,
2028,20.440872,19.291819,20.996012,18.818676,16.796553,18.693502,20.553598,20.597578,18.139002,118.1173612276325,163.50272506533656,134.8935377493035,118.5079073315137,95.57049601280596,118.74554328387603,,
2029,20.398996,19.537485,18.569193,17.731615,17.890038,17.631231,19.98168,19.860422,19.162958,147.12142395728733,163.41085666936124,89.75113143824274,190.77439396642148,122.40118497284129,163.79561664070934,,
2030,21.167585,18.010496,18.609217,20.20848,18.966667,17.193521,21.35103,20.40033,19.339426,150.47755151172169,168.0629599664826,110.52120922140602,152.17930731669185,130.3076999320183,151.1197302461369,,
2031,20.126333,18.367186,18.90162,19.045603,18.504171,18.144976,20.28074,20.979017,19.494925,121.67917868646327,234.2732434051868,237.19750923046377,145.42425982654095,176.46660815225914,152.92181158438325,,
2032,19.831985,17.707014,18.728136,19.59029,17.796999,17.60733,19.805716,21.055979,19.328028,115.33903998497408,173.28709526918828,137.9121304678847,179.93076800485142,87.43374909663544,79.36677885591052,,
2033,20.477015,16.950415,18.932978,18.001055,17.795889,18.015709,21.34067,21.339212,18.704323,204.63943543145433,325.6733278016327,157.39555812324397,270.678510441212,50.14863555138618,117.07335379105643,,
2034,20.883766,18.420692,19.342394,19.05987,17.183882,17.941124,20.320349,20.943472,19.581345,94.81148269842379,206.425963203219,307.40105918375775,148.41113546281122,115.33259473908402,132.10498987755273,,
2035,20.522995,19.192492,17.857029,19.541584,17.045555,17.145796,20.641108,21.127192,19.40943,88.67676251975354,181.1436339841748,158.05421349650715,146.9789064663928,120.5779757379787,96.77107023453573,,
2036,20.828573,17.590082,17.976421,18.956217,17.747194,17.422874,21.55866,21.783606,18.833498,92.65840610896703,127.88608316041064,151.79232594673522,96.61067385604838,107.92404361709487,200.1931659062393,,
2037,21.68296,17.950844,19.07206,21.325459,16.992846,17.608477,21.641676,21.170574,18.892624,192.75716071715578,139.82347570272395,86.02426547877258,175.61687409470323,51.60048468314926,173.55585647164844,,
2038,20.47709,17.74517,19.305273,19.547653,18.359009,17.616808,21.403028,20.89158,19.396585,107.46672696259338,161.2912143173162,146.1490849556867,135.7174804485112,203.01760902511887,147.7309774782043,,
2039,19.85297,18.912079,19.40818,19.040932,18.20231,17.080183,20.564714,21.2803,18.468054,106.98654412699398,160.51880769082345,107.62499265256338,115.43200076994253,87.17541256919503,91.41750174458139,,
2040,20.836262,16.817808,19.257383,19.615763,17.966692,18.591188,21.654976,20.993443,18.549452,135.17383744911058,119.50993174905307,249.58256742102094,156.18539130009594,194.10580176045187,116.70496924925828,,
2041,20.99382,19.076368,20.579823,20.462587,17.311808,19.056763,20.94342,22.233309,20.66628,74.43274536271929,194.2159380298108,133.5706759171444,102.6298849566956,75.97399990190752,146.94230088789482,,
2042,21.37821,19.46272,19.08888,18.694149,17.972382,17.574514,21.399208,21.92817,18.854593,114.83783395669889,119.77901091158856,143.60225944546983,144.26814692124026,76.36455997781013,188.57161748455837,,
2043,21.207012,18.584913,19.130436,20.476376,17.350779,19.03634,20.127699,20.64934,17.957617,148.3251899771858,289.95475925621577,144.98408533399925,242.29959480289835,87.3088557025767,138.79669104280765,,
2044,20.626928,19.217203,19.43151,19.9695,17.736721,18.644684,21.356321,21.828997,18.181576,138.72311697341502,145.08651632932015,89.43094246205874,127.50341456121532,150.95780976698734,162.2382058238145,,
2045,21.121998,17.938238,18.331116,18.560352,18.21486,18.11315,21.742903,21.173435,19.639084,72.33552097932261,254.00810508581344,185.80782094068127,190.05634246277623,128.207593857951,119.83707153412979,,
2046,20.954065,17.679998,19.423569,18.785128,17.710869,17.779093,21.954676,21.068604,19.585487,230.3777646040544,210.77908483275678,223.30947815207765,136.1458761995891,150.83829718641937,147.52790146158077,,
2047,21.545683,19.579014,19.004578,19.061232,20.099575,18.973871,22.317003,21.085546,18.744457,83.76784365864296,107.19592788809678,197.37296197854448,218.3827992528677,163.24709160835482,128.7268565793056,,
2048,21.363564,18.60269,19.714396,18.21713,17.423529,18.21425,21.178236,21.468904,19.708733,158.47124989377335,226.52496461814735,161.55375251109945,151.3206778334279,67.95442613511113,99.17070688388776,,
2049,21.505753,18.39639,20.243977,20.241158,17.245087,18.650957,21.468346,21.443108,19.805092,277.4623856996186,130.41940455368604,197.96157908567693,317.64068761258386,112.34831307374407,146.42474908323493,,
2050,20.603788,18.21018,19.495283,19.669256,18.778992,20.1266,21.833519,21.641706,19.267813,126.62574049027171,209.62964697391726,134.07067671505501,100.59378728619777,219.22966227284633,108.54374065529555,,
2051,20.754543,18.573435,18.157614,19.096533,18.302965,19.239473,21.298388,21.896852,18.98295,129.79230291384738,143.80054813809693,192.50571794982534,192.0499234664021,135.2655756068998,194.4427306065336,,
2052,21.460104,17.006687,19.594664,18.189621,17.737486,17.309845,21.331673,22.052626,19.413916,78.79552002195851,140.0359414939885,154.18412902217824,187.71305892441887,144.39980320748873,88.2381019910099,,
2053,21.501152,18.469503,19.893478,18.735693,17.4707,18.888823,21.52038,22.053812,19.034294,87.82695888148737,183.01569972827565,194.41349429471302,174.04359348875005,136.07637142413296,114.97097442916129,,
2054,20.82839,17.847006,19.153563,19.466387,17.849775,19.218431,21.69378,21.717712,19.504005,162.2721072519198,119.78110129275592,144.43101181823295,190.62574997660704,166.6734871978406,67.91409775614738,,
2055,21.463362,18.83394,19.50429,18.998728,18.224073,20.095795,21.12006,22.453417,20.637903,92.10373239620822,177.06930630665738,254.9118150374852,156.58927323238458,110.00705444603227,99.5578155037947,,
2056,21.252172,19.712181,19.531769,19.198101,19.479204,18.170929,20.766214,22.388786,20.114594,169.82827999745496,332.11459337035194,204.46444742556196,125.97756654286059,176.38445622869767,111.33388006710447,,
2057,22.244766,17.436415,19.498148,20.738335,19.040571,20.056091,21.247513,21.068342,19.48352,195.95116768759908,166.66098964051344,70.65468040036649,206.6149386257166,133.06401103036478,110.07959234411828,,
2058,21.77286,18.782167,19.174051,19.80356,18.216213,20.494757,20.82592,23.211725,18.382778,174.707711400697,171.2316089846354,302.0867693092441,228.35474526509643,200.84999916725792,162.01733755442547,,
2059,20.894855,19.66226,20.106821,19.565018,18.738325,19.79106,22.223818,22.297857,19.497051,82.05874217965174,120.71460513834609,208.88129758823197,162.66998597129714,114.18083408243547,157.21874086302705,,
2060,21.473654,19.790077,20.296597,20.02439,18.360209,20.343378,22.396645,22.841066,19.337748,85.55319425213384,275.1732758944854,130.53656506090192,86.54660135725862,126.98507268796675,129.6278730413178,,
2061,20.5031,18.174887,20.138758,19.572113,19.81835,19.107307,21.916296,21.909765,19.848906,103.08635824767407,163.24810597579926,290.6932768790284,216.8653831409756,134.6827458241023,114.22900327015668,,
2062,21.370222,19.041595,19.050201,19.886694,17.50216,18.102526,21.413095,22.563341,19.968056,224.9158867110964,223.42883177771,210.232549594366,135.12384604546241,81.19357777177356,113.05607867252547,,
2063,21.226175,19.37549,21.378214,19.964823,17.914328,18.81077,21.131222,22.071463,19.22424,68.36312663799617,269.6736720681656,179.8119672574103,102.50747572790715,96.35137883014977,165.0036688952241,,
2064,22.019974,18.676771,19.316198,19.367912,18.11435,18.388699,22.196884,22.75106,19.300339,141.43116835621186,136.93989371677162,129.17273874627426,198.6349689803319,177.01334852026775,138.28054213081487,,
2065,22.217844,17.573551,19.915968,20.601194,18.451792,18.469786,21.341576,22.594353,19.03275,132.49152173520997,89.8722184185317,216.94022341253003,218.60939570178743,133.3990495739272,92.47793336980976,,
2066,21.661268,19.32374,20.787973,19.624155,18.05935,19.303093,22.203346,22.387812,19.536217,208.69045015715528,139.12365145952208,207.20444486942142,101.75451179675292,129.80250838736538,166.11897497205064,,
2067,21.798597,18.73839,20.713898,19.32422,17.441141,18.901743,21.400652,23.573036,18.857166,167.8397337673232,424.01474968646653,196.70697715482675,202.78215042490046,100.869592447998,141.92223257850856,,
2068,21.890532,19.21943,20.56624,19.739618,19.30977,19.282322,21.779907,22.514204,18.357935,126.62224514060654,95.51832005163305,155.64491086697672,228.2093853704282,133.0791212443728,140.49515306105604,,
2069,20.727964,18.49019,21.110834,19.772085,17.793993,17.985054,21.887566,22.216688,20.241879,204.79507048730738,291.77589449391235,122.74970945509267,201.12485393037787,149.40843129297718,114.3956206360599,,
2070,21.18443,18.969988,20.895622,20.551538,17.184237,18.781403,22.414827,23.018217,18.561008,135.5239324795548,278.95979614695534,348.33463673712686,131.23111812165007,122.88988885120489,43.57571035143337,,
2071,21.433792,18.820192,21.77153,19.641073,18.18817,19.470184,22.8088,23.436691,18.591501,69.13426147875725,258.528711697727,240.80888445605524,231.28795081574935,140.1250138442265,120.08728229266126,,
2072,21.959028,20.006323,20.504898,19.564539,18.397186,18.212667,22.448013,23.428282,18.583597,175.06150547415018,125.51060054101981,209.2279364587739,136.91677511815215,87.23672829946736,77.18283959693508,,
