ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2015,19.03768,23.17272,23.408936,18.100962,18.086374,23.086313,712.033816112671,669.1345778061077,808.1198283936828,559.8516442347318,649.7260662261397,460.47059695702046,159.73849,18.41888
2016,19.022074,23.026773,23.653269,19.5289,19.535095,22.481894,807.3940000031143,959.2608877457678,492.35991302412003,337.9191242856905,762.1872318733949,584.9269017577171,129.18713,17.35415
2017,18.408234,23.12676,24.006805,18.98121,19.707163,23.381287,587.988086999394,1062.7115944458637,789.3650776008144,1170.531389862299,928.9495416451246,609.1460421681404,124.37553,18.14327
2018,18.56015,23.414398,23.880625,17.156363,19.831085,23.869394,666.202827275265,1134.9943453911692,1360.6256263330579,668.017657881137,398.5605440684594,716.4117499894928,113.65976,17.84457
2019,18.594696,24.067617,23.396158,19.070608,19.340973,23.478525,691.2825406179763,1002.6931883767247,499.71071333857253,1232.2074458934367,975.5201838270295,818.391983374022,132.21355,18.44036
2020,19.70286,24.13627,23.58314,19.518473,18.270468,23.706268,839.9063972057775,734.9386943271384,659.9291487713344,621.5708298725076,473.3149172505364,919.433611817658,111.36441,17.84654
2021,19.86258,23.770681,23.648651,19.061392,18.765442,24.085287,761.4526221295819,1508.7486215634272,766.743239806965,545.3728075604886,792.0174816157669,1172.1493050456047,121.28284,17.53975
2022,19.44097,23.568106,24.017385,20.043234,18.29545,25.147074,420.4727859701961,527.9478715849109,494.20772599987686,619.9354211334139,790.5489382334054,586.0105586238205,149.48109,17.3303
2023,18.86741,23.297842,23.44108,19.517447,18.579702,23.27887,862.0522141456604,834.4682754250243,494.50068373116665,642.9286553990096,801.0496526258066,720.1765282137785,155.76582,18.10225
2024,18.518982,23.270914,23.487976,19.192942,18.181906,23.279318,445.5688707414083,1657.507326733321,1671.0463858908042,814.28801844595,995.024913107045,522.711889562197,134.24266,18.48154
