ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2015,26.181793,20.410858,24.707733,24.251862,19.70401,19.623077,25.618805,26.322083,24.537231,118.67230268544517,111.52242963435128,134.6866380656138,93.3086073724553,108.28767770435661,76.74509949283674,163.79167,24.64435
2016,25.39035,20.505219,24.310028,25.094086,20.827057,21.626678,26.217987,25.709534,22.940125,134.56566666718572,159.87681462429464,82.05998550402,56.31985404761508,127.03120531223249,97.48781695961952,151.16667,24.43357
2017,25.934113,20.311615,24.87259,25.10373,21.600983,21.810608,26.612122,25.762054,25.571808,97.998014499899,177.11859907431062,131.5608462668024,195.08856497704983,154.82492360752076,101.52434036135674,192.45833,24.43602
2018,25.700684,21.243866,25.399292,26.327545,19.572052,21.77826,25.516449,26.513641,25.202576,111.0338045458775,189.16572423186153,226.7709377221763,111.33627631352283,66.42675734474324,119.40195833158214,114.47916,24.75498
2019,26.988739,20.427399,25.828278,26.098389,19.976349,21.117645,25.841003,26.484497,25.772858,115.21375676966272,167.1155313961208,83.28511888976209,205.3679076489061,162.58669730450492,136.39866389567032,97.41666,24.91851
2020,26.214539,20.527954,25.437317,24.983734,22.72464,20.696198,25.739197,26.215698,25.616943,139.98439953429624,122.4897823878564,109.98819146188907,103.5951383120846,78.88581954175606,153.238935302943,21.75,24.40932
2021,26.568542,21.146362,24.433014,25.46759,20.2872,20.455048,26.18869,25.956055,24.742432,126.90877035493031,251.45810359390453,127.7905399678275,90.8954679267481,132.0029136026278,195.35821750760078,159.77083,24.7418
2022,25.778229,21.223846,25.748444,24.655975,22.257538,20.44403,25.991547,26.460083,26.804108,70.07879766169935,87.99131193081848,82.36795433331281,103.32257018890232,131.75815637223423,97.66842643730342,143.79167,24.22514
2023,26.160645,21.251587,24.305542,24.488647,21.306854,21.604523,25.603577,26.49176,24.594055,143.67536902427673,139.07804590417072,82.41678062186111,107.15477589983493,133.50827543763444,120.02942136896309,95.35416,25.40303
2024,26.458618,21.198883,25.098999,24.77182,19.884064,20.136078,27.533905,26.388336,24.01416,74.26147845690139,276.25122112222016,278.5077309818007,135.71466974099167,165.83748551784083,87.11864826036617,203.97917,25.14378
2025,25.669678,21.4711,25.473724,24.150757,21.376312,20.892914,26.717407,26.17334,24.976776,166.67773484950885,186.72571900533512,83.49128023255616,168.54911967529915,117.20132734626532,80.39474525721744,87.72916,24.95967
2026,25.982635,21.790283,25.351715,25.873169,20.52353,20.748993,25.69812,25.717804,25.83957,87.9858240368776,169.3176512955688,58.6395537131466,136.50679652346298,106.28049596271012,131.8064684048295,,
2027,27.262054,21.35794,24.163239,26.238281,20.976593,21.099762,25.641388,25.758087,25.248688,94.3244977563154,166.3144746911712,161.9003772502765,175.86483559571207,64.74844630574808,99.07784869428724,,
2028,25.687378,22.724823,25.584747,25.027374,21.317535,21.285797,25.799835,26.54779,24.766357,140.72971181594767,125.79010835615918,133.25262959115207,186.23621544102207,110.13671066612005,87.168431840837,,
2029,26.131775,22.214874,24.971924,25.07611,21.11789,21.059326,25.940247,26.12564,24.564606,147.7296296856366,258.5325209191069,72.13278945127968,102.27097635506652,86.60054611391388,151.63347950438038,,
2030,27.389404,21.57071,24.52652,24.782684,22.591919,20.139862,26.303162,26.03128,25.801819,176.0110828327015,162.36358196474612,81.87776429113,174.7264812584035,143.5763680608943,116.30526334047318,,
2031,25.970306,21.113953,26.151886,25.284302,21.753784,21.827576,26.3143,27.300232,24.709442,123.21944654686376,126.12549711484462,169.52764447778463,157.58015586761758,176.40574243851006,154.9946276267292,,
2032,25.83899,20.8237,25.327698,24.816467,21.465668,20.849945,25.986694,26.739288,24.82837,99.05265075503848,169.854035472963,74.80771165865008,148.30531566403806,121.73295478569344,81.00918129784986,,
2033,26.040924,20.741913,25.659912,24.685791,21.078583,21.993652,26.913239,26.652649,24.841705,182.426968915388,260.946329345461,145.71453100070357,157.33877518214285,53.28555433661677,134.4844925450161,,
2034,26.595093,21.267822,24.794464,24.439697,21.460052,20.948395,26.127472,26.18866,25.257233,113.63016008399427,228.47209919127636,238.34809300024062,152.05741992685944,133.85625050141243,159.87475545261987,,
2035,26.079163,22.15207,24.97821,25.635437,20.330719,21.53891,26.131775,26.537933,24.559845,132.84473024541512,116.5327334718313,78.07090157875791,123.5390967107378,102.62204052996822,79.63601650844794,,
2036,26.273743,20.1763,24.121643,25.020325,21.66278,20.821136,26.826843,26.474884,24.627869,78.27208815724589,154.3210735777393,105.47673638211563,65.95749408588745,106.42432960448787,186.00618427153677,,
2037,27.183014,21.131683,25.17514,26.793274,20.869324,21.102936,27.091217,26.794739,25.532898,242.03907045302913,118.1345319841057,68.62517550762277,159.65300879906863,70.4922148535843,196.8089602945838,,
2038,26.939606,21.4133,24.618652,26.050629,21.49881,21.18515,27.329529,26.132812,24.139282,83.82907962659374,158.33791836630553,159.44548492552713,92.7050068799872,142.04135508625768,127.68199872225523,,
2039,25.740509,22.669922,24.883514,24.898285,22.757294,21.153229,26.882141,26.89621,25.263275,103.77598211634904,156.14744365448132,88.55770269292407,112.3468066798523,102.67238931264728,131.15267901448533,,
2040,26.665527,20.16397,24.78305,26.308685,21.157257,22.035736,27.229675,27.095093,24.827179,123.76236106501892,140.7235236139968,134.74082245957106,146.49527615401894,137.78892281698063,151.59326622379012,,
2041,25.821198,21.415894,25.29181,26.14032,21.416565,22.806488,27.182098,27.183228,25.278595,70.76743091165554,157.22662667976692,144.6339524933137,123.27090776525438,69.7461346455384,136.7219294887036,,
2042,27.05484,23.06601,25.42035,24.797516,20.919464,21.558502,27.001373,27.137787,25.975616,87.32932996354066,100.78163878060877,98.39346425724216,145.29404455097392,109.67946705641225,171.48648461443372,,
2043,26.881653,20.676117,25.339874,26.718231,21.778229,22.370514,26.03659,26.811707,24.756683,118.88954762835056,238.04780922364444,89.20304422499612,174.85351329669356,92.48845878755674,203.87635730439797,,
2044,25.959106,22.099457,24.588501,25.800385,21.74347,22.278961,26.964264,26.502289,25.232605,123.03939100820571,228.70452302740887,183.65086822304875,166.55173242324963,169.27968116942793,136.17823817767203,,
2045,26.719666,21.7258,25.004486,25.575958,21.521942,20.922577,27.247192,26.663849,25.456024,95.91376993339509,132.01423372956924,195.898776082322,128.11014225007966,131.9557442329824,121.39108335832134,,
2046,27.208008,21.53061,25.209473,24.524963,20.933441,21.536804,27.224518,27.879425,25.5708,208.15969108371064,141.50980084959883,131.76842032698914,106.88527722959407,139.37032035319135,163.87288036057726,,
2047,27.310028,21.833862,26.219696,25.721405,21.952911,21.82309,27.444336,27.028107,25.490967,90.09772615972906,165.58486794820055,159.2225312255323,154.269489669241,137.88536939537153,130.64979918999597,,
2048,27.012787,22.336975,25.308472,24.411621,20.952942,21.331146,27.289642,27.291748,26.01941,154.1050044586882,125.85372040048242,92.41275765525643,115.72299070539884,138.91631016740575,120.94500329112634,,
2049,27.012878,21.286896,27.244873,25.52832,21.162628,21.177399,26.862457,26.505646,26.581757,222.62833148706704,131.12320567597635,172.26497393567115,263.1898019928485,119.16832480346784,132.221015333198,,
2050,26.94397,21.868073,25.97937,24.738892,22.266876,22.799164,27.396942,27.06961,25.454742,141.05663799564354,152.1959087694995,111.97830751771107,116.80973054026254,166.86987007269636,146.6349519789219,,
2051,26.206818,22.092255,25.50235,24.669891,22.084778,21.793915,27.23935,27.58847,24.860168,123.68627423420548,179.0747749968432,114.56789430230856,128.77012764802203,134.9614095292054,175.69814919261262,,
2052,27.324036,20.860107,26.655182,25.633423,20.878326,21.802887,26.8031,27.552704,25.832703,68.61934434855357,91.68103319825605,150.93376116128638,172.02095059328713,113.93329538404942,113.4370360057801,,
2053,27.50827,21.85553,26.705078,24.714172,21.417847,22.188599,27.442017,27.380219,24.720367,84.88636199617758,110.5717267782893,142.12341177044436,124.02021763846278,115.1579076773487,110.16195947304368,,
2054,26.76355,21.026398,25.235352,26.084747,21.546417,22.253998,27.226868,26.839539,25.915833,179.03169054770842,226.85490930452943,97.69505438162014,118.44002605648711,136.52718152152374,71.55936991330236,,
2055,27.5383,21.467194,26.421265,26.354431,21.132599,23.46228,26.853607,28.06305,26.195526,141.85631970176473,155.3169082151726,179.66798198176548,134.98010903131217,107.19185450579971,78.30526242032647,,
2056,27.021088,22.393097,26.207275,24.521484,22.122955,21.96231,27.46988,27.443573,25.957947,166.71079234220088,257.6304854359478,130.26698813773692,126.4533003559336,147.9306563269347,110.0675007677637,,
2057,27.375702,21.064209,25.34613,26.052277,21.899078,21.520355,26.60205,26.867981,25.987549,178.09297271305695,156.45345944794826,52.755169427837245,118.93866966711357,135.75001104036346,149.5450955349952,,
2058,27.174957,21.666382,25.318268,26.117523,21.028381,21.846558,26.798492,28.242157,24.686829,150.91070589842275,162.15491977636702,197.24927628412843,182.43830784922466,167.3306545126252,159.20146289281547,,
2059,26.536804,22.77539,26.023254,25.580994,21.542511,22.691406,27.089722,28.235962,25.103668,100.20558887044899,59.47258685482666,161.1215650686063,131.07575116446242,149.0695291373413,146.0251828772016,,
2060,27.175537,22.348175,26.605743,26.938354,21.713135,22.387787,27.78543,28.194916,26.275055,48.84788122144528,161.46170678548515,134.91332611301914,151.48550685262308,107.02661209506914,145.05055466433987,,
2061,26.298584,22.331848,25.919952,25.65445,22.331512,22.187134,26.815796,27.933228,25.422333,125.10940975625999,216.141060506925,256.0121021233499,162.73530438775197,133.45101635204628,104.60695446236059,,
2062,27.782074,22.446869,25.125427,25.339386,21.096222,21.831024,26.855255,28.07077,25.3609,202.04234953271225,102.96710179536603,114.12900905124843,127.67654178896919,86.93638450931758,110.42028763331473,,
2063,26.957825,22.575256,25.277588,24.963501,21.040924,21.272675,27.35196,27.648132,24.587433,75.7003986480413,308.6234064772725,231.23751603998244,71.32302106765565,104.04516840353608,150.97696107113734,,
2064,27.109589,22.256683,25.37796,25.013245,22.56308,21.836914,27.23111,27.973083,25.018646,131.3394027762115,190.44064407935366,134.9839291884564,148.18523190915585,148.70720204198733,144.624698034022,,
2065,27.050629,21.841644,25.739197,26.294525,20.731293,21.777008,27.124786,27.385223,25.157837,101.32999640190974,186.96998097002506,213.53015477070585,154.25359904766083,148.9326878625434,99.23971524112858,,
2066,27.58078,21.770233,26.406525,26.207733,21.21408,22.643585,27.941742,27.730682,24.037018,166.69739020289853,134.0195242781192,214.05530185438693,117.37805946031585,116.09687806922011,128.82984535535797,,
2067,27.367737,21.95758,26.807556,25.299988,20.542816,23.42984,26.45398,28.25174,24.694366,185.29118309961632,279.5276186428964,168.44364730641246,105.49987473059446,91.46670112386346,123.45011034049094,,
2068,27.565216,23.093689,25.895447,26.091003,21.590393,21.63913,27.669678,27.389862,25.643616,141.68371672276407,123.52008335874416,86.15077083231881,161.6928867995739,128.3911952166818,145.95177995797712,,
2069,26.226105,21.697723,26.047546,26.027954,20.497223,21.34201,27.018066,27.730377,26.526093,217.0277054538019,169.3386034341529,121.24132096068934,104.70114557538182,156.68644990073517,128.4593037853483,,
2070,27.210846,21.358368,25.888,26.124756,19.767212,22.525818,27.534515,28.406494,26.39804,119.74756680428982,208.97099236026406,171.9186585280113,62.54955726326443,124.4998115929775,32.03756461443845,,
2071,26.802612,22.110687,26.57669,25.351349,20.80429,23.351044,28.220245,28.47519,25.555267,78.88657642761245,211.3221459032502,170.9521461976692,237.49555789399892,113.73165220138617,100.56764769251458,,
2072,27.973755,22.956451,26.187744,26.271423,22.014313,21.747345,27.838165,29.12909,25.811127,164.33527863118798,100.27228351682425,169.55279898829758,133.92404958140105,108.75417944043875,83.07833094731905,,
2073,27.63263,23.382294,26.350433,26.21106,22.389374,21.882172,27.51297,27.59845,24.512878,119.37189063755795,105.78395539778285,130.603003653232,134.33929461752996,164.24221582710743,105.98849589005113,,
