ano,prec_merge,temp_samet
2000,138.53572,24.19474
2001,143.81770,25.57255
2002,129.77605,26.28863
2003,74.25000,27.02629
2004,155.04167,24.34241
2005,159.39583,25.24084
2006,86.85416,25.83402
2007,110.23959,25.86472
2008,215.47159,24.73909
2009,143.31250,24.85298
2010,163.33333,26.35462
2011,184.58855,25.96098
2012,118.64062,26.10378
2013,132.77605,25.22863
2014,108.51704,26.38079
2015,189.07292,26.50570
2016,144.50520,26.02986
2017,144.61980,26.86268
2018,137.60417,25.04095
2019,102.12500,27.52751
2020,113.03646,25.37674
2021,161.20833,24.79480
2022,142.43750,25.68883
2023,137.60938,25.40303
2024,156.53125,26.43726
2025,126.18490,26.62893
