ano,prec_merge,temp_samet
2000,,20.74074
2001,151.75000,22.12923
2002,138.12500,23.31659
2003,80.70834,22.18200
2004,176.08333,21.55095
2005,159.85417,22.71027
2006,51.47917,21.42312
2007,123.56250,22.40130
2008,162.54167,21.55315
2009,190.16667,22.03497
2010,259.87500,21.78438
2011,144.85417,21.58111
2012,98.89584,22.06736
2013,174.91667,21.44957
2014,93.47916,21.85918
2015,163.79167,22.42429
2016,151.16667,22.35331
2017,192.45833,22.24942
2018,114.47916,23.12700
2019,97.41666,23.42191
2020,21.75000,21.81405
2021,159.77083,21.69983
2022,143.79167,21.41701
2023,95.35416,22.52881
2024,203.97917,22.79045
2025,87.72916,22.47273
2026,99.00000,21.60824
