,ano,prec_merge,temp_samet
0,2000,154.15971,17.35679
1,2001,146.07259,18.58345
2,2002,132.39792,18.46508
3,2003,89.07640,17.78702
4,2004,103.15079,17.57472
5,2005,135.54790,18.10759
6,2006,91.92593,18.14634
7,2007,132.50575,18.00529
8,2008,128.17860,17.54561
9,2009,135.51073,17.97949
10,2010,141.80756,17.85114
11,2011,152.71278,17.50408
12,2012,99.76118,18.36882
13,2013,129.69122,17.41560
14,2014,137.32439,18.40559
15,2015,159.73849,18.41888
16,2016,129.18713,17.35415
17,2017,124.37553,18.14327
18,2018,113.65976,17.84457
19,2019,132.21355,18.44036
20,2020,111.36441,17.84654
21,2021,121.28284,17.53975
22,2022,149.48109,17.33030
23,2023,155.76582,18.10225
24,2024,134.24266,18.48154
25,2025,102.01264,17.68752
26,2026,96.34631,17.87738
