ano,prec_merge,temp_samet
2000,,22.98856
2001,151.75000,25.08627
2002,138.12500,26.28863
2003,80.70834,25.14245
2004,176.08333,23.48688
2005,159.85417,24.57884
2006,51.47917,25.29461
2007,123.56250,25.86472
2008,162.54167,24.28645
2009,190.16667,24.44019
2010,259.87500,24.26936
2011,144.85417,23.31053
2012,98.89584,24.27863
2013,174.91667,23.11215
2014,93.47916,23.94722
2015,163.79167,24.64435
2016,151.16667,24.43357
2017,192.45833,24.43602
2018,114.47916,24.75498
2019,97.41666,24.91851
2020,21.75000,24.40932
2021,159.77083,24.74180
2022,143.79167,24.22514
2023,95.35416,25.40303
2024,203.97917,25.14378
2025,87.72916,24.95967
